,name,formatted_address,international_phone_number,opening_hours,rating,types,url,user_ratings_total,lat,lng
0,Vulcano Hotel Chiang Mai,"17 ถนน Soi Sai Nam Phueng, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 84 222 2594,This place is open 24 hours every day.,3.6,"lodging, restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=10357987307620597782,146.0,18.7944142,98.9686134
1,Sriphing Noodle (Suan Dok) เย็นตาโฟศรีพิงค์ (สวนดอก),"QXQ8+Q7M, Suthep, Mueang Chiang Mai District, Chiang Mai 50300, Thailand",+66 53 809 129,"Open on: Tuesday (8:00 AM – 3:00 PM), Wednesday (8:00 AM – 3:00 PM), Thursday (8:00 AM – 3:00 PM), Friday (8:00 AM – 3:00 PM), Saturday (8:00 AM – 3:00 PM), Sunday (8:00 AM – 3:00 PM). Closed on: Monday.",4.1,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=17969932347272976359,470.0,18.7894513,98.9656722
2,Somtum Dokrak By Indies’ Kitchen,"Soi Sainampueng, Nimmanhemin 17 Rd., Muang, 53000, ตำบลสุเทพ อำเภอเมืองเชียงใหม่ เชียงใหม่ 53000, Thailand",+66 53 289 158,Opening hours information is not available.,,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=17089737909013781624,,18.7957706,98.9662654
3,De May Coffee House,"3 rawee waree resident Nimman Road Soi 15, ถนน สุเทพ ตำบลสุเทพ เมือง, เชียงใหม่ 50200, Thailand",+66 53 212 400,"Open on: Monday (8:00 AM – 6:00 PM), Tuesday (8:00 AM – 6:00 PM), Wednesday (8:00 AM – 6:00 PM), Thursday (8:00 AM – 6:00 PM), Saturday (8:00 AM – 6:00 PM), Sunday (8:00 AM – 6:00 PM). Closed on: Friday.",4.5,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=7358403176889166157,56.0,18.7960297,98.9670572
4,Beast Burger and Pizza (Chiang Mai),"Nimmanhemin Soi 17 Suthep, ตำบลสุเทพ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200, Thailand",+66 80 124 1414,"Open on: Monday (11:00 AM – 10:00 PM), Tuesday (11:00 AM – 10:00 PM), Wednesday (11:00 AM – 10:00 PM), Thursday (11:00 AM – 10:00 PM), Friday (11:00 AM – 10:00 PM), Saturday (11:00 AM – 10:00 PM), Sunday (11:00 AM – 10:00 PM).",4.6,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=5162492686811340092,2198.0,18.7950345,98.967685
5,soi khang,"ถนนนิมมานเหมินท์ - ถนน นิมมานเหมินท์ ซอย 11 Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 86 368 4109,"Open on: Tuesday (10:00 AM – 5:00 PM), Wednesday (10:00 AM – 5:00 PM), Thursday (10:00 AM – 5:00 PM), Friday (10:00 AM – 5:00 PM), Saturday (10:00 AM – 5:00 PM), Sunday (10:00 AM – 5:00 PM). Closed on: Monday.",5.0,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=8088006428629962497,3.0,18.7970863,98.9662779
6,Subway - Sandwich Restaurants Burger ร้านอาหาร นิมมาน,"30 Nimmanahaeminda Road, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 52 010 293,"Open on: Monday (8:00 AM – 12:00 AM), Tuesday (8:00 AM – 12:00 AM), Wednesday (8:00 AM – 12:00 AM), Thursday (8:00 AM – 12:00 AM), Friday (8:00 AM – 1:00 AM), Saturday (8:00 AM – 1:00 AM), Sunday (8:00 AM – 1:00 AM).",4.2,"cafe, health, restaurant, food, store, point_of_interest, establishment",https://maps.google.com/?cid=8209394801488455863,338.0,18.7963814,98.9659491
7,Beer Lab,"Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand",+66 97 997 4566,"Open on: Monday (5:00 PM – 12:00 AM), Tuesday (5:00 PM – 12:00 AM), Wednesday (5:00 PM – 12:00 AM), Thursday (5:00 PM – 12:00 AM), Friday (5:00 PM – 12:00 AM), Saturday (5:00 PM – 12:00 AM), Sunday (5:00 PM – 12:00 AM).",4.1,"restaurant, liquor_store, point_of_interest, food, store, establishment",https://maps.google.com/?cid=4855273246231790873,1600.0,18.7955884,98.9656512
8,Wrap Master,"8, soi 5, ตำบลสุเทพ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200, Thailand",ไม่มีข้อมูล,"Open on: Monday (11:00 AM – 8:00 PM), Tuesday (11:00 AM – 8:00 PM), Wednesday (11:00 AM – 8:00 PM), Thursday (11:00 AM – 8:00 PM), Friday (11:00 AM – 8:00 PM), Saturday (11:00 AM – 8:00 PM), Sunday (11:00 AM – 8:00 PM).",4.2,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=13143484869425196206,208.0,18.798283,98.9678301
9,McDonald's,"32/1 Nimmanahaeminda Road, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand",+66 63 230 8290,This place is open 24 hours every day.,4.1,"restaurant, food, point_of_interest, establishment",https://maps.google.com/?cid=15478404538958810159,690.0,18.7893144,98.9705974
